"rsz"
.0140625
"02-06-2024"
"09:16:02"
1294
10
25
5
1362
"In"
1
6.2
0
0
0
"AVM"
23
10
200
5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
"时间(S)","温度(°C)","TG失重率(wl%)","TG剩余率(%)","DTA值(uV)","DTG速率(mg/min)","DTG百分比(%/min)","TG原值","DTG原值","DTA原值"
969,131.1,1.772,101.772,-3.00293,-1.6357,-26.3829,3220,0,1802
970,131.1,1.811,101.811,-3.015137,-1.6357,-26.3829,3221,0,1801
971,131.6,1.811,101.811,-3.015137,-1.6357,-26.3829,3221,0,1801
972,131.6,1.693,101.693,-3.015137,-1.6357,-26.3829,3218,0,1801
973,131.6,1.693,101.693,-3.015137,-1.6357,-26.3829,3218,0,1801
974,132.1,1.733,101.733,-3.015137,-1.6357,-26.3829,3219,0,1801
975,132.1,1.733,101.733,-3.015137,-1.6357,-26.3829,3219,0,1801
976,132.6,1.733,101.733,-3.015137,-1.6357,-26.3829,3219,0,1801
977,132.6,1.772,101.772,-3.027344,-1.6357,-26.3829,3220,0,1800
978,132.6,1.811,101.811,-3.027344,-1.6357,-26.3829,3221,0,1800
979,132.6,1.851,101.851,-3.039551,-1.6357,-26.3829,3222,0,1799
980,132.6,1.89,101.89,-3.039551,-1.6357,-26.3829,3223,0,1799
981,133.1,1.89,101.89,-3.039551,-1.6357,-26.3829,3223,0,1799
982,133.1,1.851,101.851,-3.039551,-1.6357,-26.3829,3222,0,1799
983,133.1,1.851,101.851,-3.039551,-1.6357,-26.3829,3222,0,1799
984,133.6,1.851,101.851,-3.027344,-1.6357,-26.3829,3222,0,1800
985,133.6,1.851,101.851,-3.027344,-1.6357,-26.3829,3222,0,1800
986,133.6,1.851,101.851,-3.039551,-1.6357,-26.3829,3222,0,1799
987,134.8,1.811,101.811,-3.039551,-1.6357,-26.3829,3221,0,1799
988,134.8,1.811,101.811,-3.039551,-1.6357,-26.3829,3221,0,1799
989,134.8,1.811,101.811,-3.039551,-1.6357,-26.3829,3221,0,1799
990,135.2,1.811,101.811,-3.051758,-1.6357,-26.3829,3221,0,1798
991,135.2,1.772,101.772,-3.063965,-1.6357,-26.3829,3220,0,1797
992,135.2,1.772,101.772,-3.063965,-1.6357,-26.3829,3220,0,1797
993,135.2,1.772,101.772,-3.076172,-1.6357,-26.3829,3220,0,1796
994,135.7,1.811,101.811,-3.076172,-1.6357,-26.3829,3221,0,1796
995,135.7,1.811,101.811,-3.076172,-1.6357,-26.3829,3221,0,1796
996,135.7,1.811,101.811,-3.076172,-1.6357,-26.3829,3221,0,1796
997,136.1,1.811,101.811,-3.088379,-1.6357,-26.3829,3221,0,1795
998,136.1,1.772,101.772,-3.100586,-1.6357,-26.3829,3220,0,1794
999,136.1,1.693,101.693,-3.100586,-1.6357,-26.3829,3218,0,1794
1000,136.6,1.733,101.733,-3.100586,-1.6357,-26.3829,3219,0,1794
1001,136.6,1.772,101.772,-3.100586,-1.6357,-26.3829,3220,0,1794
1002,136.6,1.772,101.772,-3.100586,-1.6357,-26.3829,3220,0,1794
1003,137.1,1.851,101.851,-3.100586,-1.6357,-26.3829,3222,0,1794
1004,137.1,1.851,101.851,-3.112793,-1.6357,-26.3829,3222,0,1793
1005,137.1,1.89,101.89,-3.112793,-1.6357,-26.3829,3223,0,1793
1006,137.5,1.811,101.811,-3.125,-1.6357,-26.3829,3221,0,1792
1007,137.5,1.811,101.811,-3.125,-1.6357,-26.3829,3221,0,1792
1008,137.5,1.851,101.851,-3.125,-1.6357,-26.3829,3222,0,1792
1009,138,1.811,101.811,-3.125,-1.6357,-26.3829,3221,0,1792
1010,138,1.772,101.772,-3.137207,-1.6357,-26.3829,3220,0,1791
1011,138,1.772,101.772,-3.137207,-1.6357,-26.3829,3220,0,1791
1012,138,1.89,101.89,-3.137207,-1.6357,-26.3829,3223,0,1791
1013,138.5,1.851,101.851,-3.161621,-1.6357,-26.3829,3222,0,1789
1014,138.5,1.733,101.733,-3.161621,-1.6357,-26.3829,3219,0,1789
1015,138.9,1.693,101.693,-3.173828,-1.6357,-26.3829,3218,0,1788
1016,138.9,1.733,101.733,-3.173828,-1.6357,-26.3829,3219,0,1788
1017,139.4,1.693,101.693,-3.173828,-1.6357,-26.3829,3218,0,1788
1018,139.4,1.693,101.693,-3.186035,-1.6357,-26.3829,3218,0,1787
1019,138.9,1.733,101.733,-3.186035,-1.6357,-26.3829,3219,0,1787
1020,139.4,1.772,101.772,-3.198242,-1.6357,-26.3829,3220,0,1786
1021,139.8,1.693,101.693,-3.198242,-1.6357,-26.3829,3218,0,1786
1022,139.8,1.733,101.733,-3.210449,-1.6357,-26.3829,3219,0,1785
1023,139.8,1.772,101.772,-3.198242,-1.6357,-26.3829,3220,0,1786
1024,140.3,1.772,101.772,-3.198242,-1.6357,-26.3829,3220,0,1786
1025,140.3,1.772,101.772,-3.210449,-1.6357,-26.3829,3220,0,1785
1026,140.3,1.772,101.772,-3.210449,-1.6357,-26.3829,3220,0,1785
1027,140.8,1.772,101.772,-3.210449,-1.6357,-26.3829,3220,0,1785
1028,140.8,1.772,101.772,-3.210449,-1.6357,-26.3829,3220,0,1785
1029,140.8,1.733,101.733,-3.210449,-1.6357,-26.3829,3219,0,1785
1030,141.2,1.772,101.772,-3.210449,-1.6357,-26.3829,3220,0,1785
1031,141.2,1.772,101.772,-3.222656,-1.6357,-26.3829,3220,0,1784
1032,141.2,1.772,101.772,-3.210449,-1.6357,-26.3829,3220,0,1785
1033,141.7,1.772,101.772,-3.210449,-1.6357,-26.3829,3220,0,1785
1034,141.2,1.772,101.772,-3.222656,-1.6357,-26.3829,3220,0,1784
1035,141.7,1.811,101.811,-3.222656,-1.6357,-26.3829,3221,0,1784
1036,141.7,1.772,101.772,-3.234863,-1.6357,-26.3829,3220,0,1783
1037,142.2,1.772,101.772,-3.234863,-1.6357,-26.3829,3220,0,1783
1038,142.2,1.772,101.772,-3.222656,-1.6357,-26.3829,3220,0,1784
1039,142.2,1.772,101.772,-3.24707,-1.6357,-26.3829,3220,0,1782
1040,142.6,1.772,101.772,-3.24707,-1.6357,-26.3829,3220,0,1782
1041,142.6,1.772,101.772,-3.234863,-1.6357,-26.3829,3220,0,1783
1042,142.6,1.772,101.772,-3.24707,-1.6357,-26.3829,3220,0,1782
1043,142.6,1.733,101.733,-3.24707,-1.6357,-26.3829,3219,0,1782
1044,143.1,1.693,101.693,-3.24707,-1.6357,-26.3829,3218,0,1782
1045,143.1,1.654,101.654,-3.24707,-1.6357,-26.3829,3217,0,1782
1046,143.5,1.693,101.693,-3.259277,-1.6357,-26.3829,3218,0,1781
1047,143.5,1.693,101.693,-3.271484,-1.6357,-26.3829,3218,0,1780
1048,143.5,1.733,101.733,-3.295898,-1.6357,-26.3829,3219,0,1778
1049,143.5,1.733,101.733,-3.283691,-1.6357,-26.3829,3219,0,1779
1050,144,1.733,101.733,-3.295898,-1.6357,-26.3829,3219,0,1778
1051,144,1.772,101.772,-3.308105,-1.6357,-26.3829,3220,0,1777
1052,144.5,1.811,101.811,-3.320313,-1.6357,-26.3829,3221,0,1776
1053,144.5,1.772,101.772,-3.320313,-1.6357,-26.3829,3220,0,1776
1054,144.5,1.772,101.772,-3.33252,-1.6357,-26.3829,3220,0,1775
1055,144.9,1.772,101.772,-3.344727,-1.6357,-26.3829,3220,0,1774
1056,144.9,1.772,101.772,-3.356934,-1.6357,-26.3829,3220,0,1773
1057,144.9,1.772,101.772,-3.356934,-1.6357,-26.3829,3220,0,1773
1058,145.4,1.772,101.772,-3.369141,-1.6357,-26.3829,3220,0,1772
1059,145.4,1.772,101.772,-3.381348,-1.6357,-26.3829,3220,0,1771
1060,145.4,1.772,101.772,-3.381348,-1.6357,-26.3829,3220,0,1771
1061,145.8,1.811,101.811,-3.381348,-1.6357,-26.3829,3221,0,1771
1062,145.8,1.811,101.811,-3.381348,-1.6357,-26.3829,3221,0,1771
1063,146.3,1.733,101.733,-3.381348,-1.6357,-26.3829,3219,0,1771
1064,146.3,1.733,101.733,-3.381348,-1.6357,-26.3829,3219,0,1771
1065,146.3,1.733,101.733,-3.381348,-1.6357,-26.3829,3219,0,1771
1066,146.3,1.772,101.772,-3.393555,-1.6357,-26.3829,3220,0,1770
1067,146.8,1.772,101.772,-3.405762,-1.6357,-26.3829,3220,0,1769
1068,146.8,1.733,101.733,-3.405762,-1.6357,-26.3829,3219,0,1769
1069,146.8,1.733,101.733,-3.417969,-1.6357,-26.3829,3219,0,1768
1070,146.8,1.733,101.733,-3.417969,-1.6357,-26.3829,3219,0,1768
1071,147.2,1.733,101.733,-3.417969,-1.6357,-26.3829,3219,0,1768
1072,147.2,1.733,101.733,-3.417969,-1.6357,-26.3829,3219,0,1768
1073,147.7,1.772,101.772,-3.430176,-1.6357,-26.3829,3220,0,1767
1074,147.7,1.772,101.772,-3.442383,-1.6357,-26.3829,3220,0,1766
1075,147.7,1.772,101.772,-3.442383,-1.6357,-26.3829,3220,0,1766
1076,148.2,1.772,101.772,-3.442383,-1.6357,-26.3829,3220,0,1766
1077,148.2,1.733,101.733,-3.442383,-1.6357,-26.3829,3219,0,1766
1078,148.2,1.693,101.693,-3.442383,-1.6357,-26.3829,3218,0,1766
1079,148.6,1.733,101.733,-3.430176,-1.6357,-26.3829,3219,0,1767
1080,148.6,1.772,101.772,-3.442383,-1.6357,-26.3829,3220,0,1766
1081,148.6,1.772,101.772,-3.45459,-1.6357,-26.3829,3220,0,1765
1082,149.1,1.772,101.772,-3.45459,-1.6357,-26.3829,3220,0,1765
1083,149.1,1.733,101.733,-3.466797,-1.6357,-26.3829,3219,0,1764
1084,149.1,1.693,101.693,-3.479004,-1.6357,-26.3829,3218,0,1763
1085,149.5,1.733,101.733,-3.479004,-1.6357,-26.3829,3219,0,1763
1086,149.5,1.733,101.733,-3.491211,-1.6357,-26.3829,3219,0,1762
1087,149.5,1.693,101.693,-3.491211,-1.6357,-26.3829,3218,0,1762
1088,150,1.693,101.693,-3.503418,-1.6357,-26.3829,3218,0,1761
1089,150,1.693,101.693,-3.503418,-1.6357,-26.3829,3218,0,1761
1090,150,1.693,101.693,-3.503418,-1.6357,-26.3829,3218,0,1761
1091,150,1.733,101.733,-3.503418,-1.6357,-26.3829,3219,0,1761
1092,150.5,1.693,101.693,-3.503418,-1.6357,-26.3829,3218,0,1761
1093,150.5,1.693,101.693,-3.515625,-1.6357,-26.3829,3218,0,1760
1094,150.5,1.654,101.654,-3.515625,-1.6357,-26.3829,3217,0,1760
1095,150.9,1.693,101.693,-3.527832,-1.6357,-26.3829,3218,0,1759
1096,150.9,1.693,101.693,-3.540039,-1.6357,-26.3829,3218,0,1758
1097,150.9,1.693,101.693,-3.552246,-1.6357,-26.3829,3218,0,1757
1098,150.9,1.693,101.693,-3.552246,-1.6357,-26.3829,3218,0,1757
1099,151.4,1.654,101.654,-3.552246,-1.6357,-26.3829,3217,0,1757
1100,151.8,1.654,101.654,-3.564453,-1.6357,-26.3829,3217,0,1756
1101,151.8,1.614,101.614,-3.564453,-1.6357,-26.3829,3216,0,1756
1102,151.8,1.614,101.614,-3.564453,-1.6357,-26.3829,3216,0,1756
1103,151.8,1.614,101.614,-3.57666,-1.6357,-26.3829,3216,0,1755
1104,152.3,1.614,101.614,-3.57666,-1.6357,-26.3829,3216,0,1755
1105,152.3,1.614,101.614,-3.564453,-1.6357,-26.3829,3216,0,1756
1106,152.3,1.536,101.536,-3.552246,-1.6357,-26.3829,3214,0,1757
1107,152.8,1.536,101.536,-3.515625,-1.6357,-26.3829,3214,0,1760
1108,152.8,1.536,101.536,-3.45459,-1.6357,-26.3829,3214,0,1765
1109,152.8,1.575,101.575,-3.381348,-1.6357,-26.3829,3215,0,1771
1110,153.2,1.614,101.614,-3.308105,-1.6357,-26.3829,3216,0,1777
1111,153.2,1.614,101.614,-3.198242,-1.6357,-26.3829,3216,0,1786
1112,153.2,1.654,101.654,-3.063965,-1.6357,-26.3829,3217,0,1797
1113,153.2,1.614,101.614,-2.91748,-1.6357,-26.3829,3216,0,1809
1114,153.7,1.614,101.614,-2.758789,-1.6357,-26.3829,3216,0,1822
1115,153.7,1.693,101.693,-2.587891,-1.6357,-26.3829,3218,0,1836
1116,153.7,1.654,101.654,-2.392578,-1.6357,-26.3829,3217,0,1852
1117,154.2,1.654,101.654,-2.197266,-1.6357,-26.3829,3217,0,1868
1118,154.2,1.654,101.654,-1.977539,-1.6357,-26.3829,3217,0,1886
1119,154.2,1.654,101.654,-1.757813,-1.6357,-26.3829,3217,0,1904
1120,154.6,1.614,101.614,-1.513672,-1.6357,-26.3829,3216,0,1924
1121,154.6,1.654,101.654,-1.269531,-1.6357,-26.3829,3217,0,1944
1122,154.6,1.693,101.693,-1.000977,-1.6357,-26.3829,3218,0,1966
1123,154.6,1.654,101.654,-.732422,-1.6357,-26.3829,3217,0,1988
1124,155.1,1.693,101.693,-.463867,-1.6357,-26.3829,3218,0,2010
1125,155.1,1.693,101.693,-.183105,-1.6357,-26.3829,3218,0,2033
1126,155.1,1.733,101.733,.061035,-1.6357,-26.3829,3219,0,2053
1127,155.1,1.772,101.772,.219727,-1.6357,-26.3829,3220,0,2066
1128,155.5,1.772,101.772,.305176,-1.6357,-26.3829,3220,0,2073
1129,155.5,1.733,101.733,.317383,-1.6357,-26.3829,3219,0,2074
1130,155.5,1.693,101.693,.280762,-1.6357,-26.3829,3218,0,2071
1131,155.5,1.654,101.654,.20752,-1.6357,-26.3829,3217,0,2065
1132,156,1.654,101.654,.12207,-1.6357,-26.3829,3217,0,2058
1133,156,1.654,101.654,.024414,-1.6357,-26.3829,3217,0,2050
1134,156,1.654,101.654,-.073242,-1.6357,-26.3829,3217,0,2042
1135,156.5,1.693,101.693,-.183105,-1.6357,-26.3829,3218,0,2033
1136,156.5,1.693,101.693,-.317383,-1.6357,-26.3829,3218,0,2022
1137,156.5,1.614,101.614,-.45166,-1.6357,-26.3829,3216,0,2011
1138,156.5,1.614,101.614,-.561523,-1.6357,-26.3829,3216,0,2002
1139,156.9,1.614,101.614,-.683594,-1.6357,-26.3829,3216,0,1992
1140,156.9,1.654,101.654,-.793457,-1.6357,-26.3829,3217,0,1983
1141,156.9,1.654,101.654,-.90332,-1.6357,-26.3829,3217,0,1974
1142,157.4,1.614,101.614,-1.025391,-1.6357,-26.3829,3216,0,1964
1143,157.4,1.614,101.614,-1.123047,-1.6357,-26.3829,3216,0,1956
1144,157.4,1.614,101.614,-1.220703,-1.6357,-26.3829,3216,0,1948
1145,157.8,1.614,101.614,-1.330566,-1.6357,-26.3829,3216,0,1939
1146,157.8,1.614,101.614,-1.416016,-1.6357,-26.3829,3216,0,1932
1147,157.8,1.654,101.654,-1.501465,-1.6357,-26.3829,3217,0,1925
1148,158.3,1.693,101.693,-1.574707,-1.6357,-26.3829,3218,0,1919
1149,158.3,1.733,101.733,-1.660156,-1.6357,-26.3829,3219,0,1912
1150,158.3,1.733,101.733,-1.733398,-1.6357,-26.3829,3219,0,1906
1151,158.3,1.733,101.733,-1.818848,-1.6357,-26.3829,3219,0,1899
1152,158.8,1.654,101.654,-1.89209,-1.6357,-26.3829,3217,0,1893
1153,158.8,1.614,101.614,-1.977539,-1.6357,-26.3829,3216,0,1886
1154,158.8,1.654,101.654,-2.050781,-1.6357,-26.3829,3217,0,1880
1155,158.8,1.614,101.614,-2.124023,-1.6357,-26.3829,3216,0,1874
1156,159.2,1.654,101.654,-2.197266,-1.6357,-26.3829,3217,0,1868
1157,159.2,1.654,101.654,-2.270508,-1.6357,-26.3829,3217,0,1862
1158,159.2,1.693,101.693,-2.331543,-1.6357,-26.3829,3218,0,1857
1159,159.7,1.693,101.693,-2.392578,-1.6357,-26.3829,3218,0,1852
1160,159.7,1.693,101.693,-2.441406,-1.6357,-26.3829,3218,0,1848
1161,159.7,1.693,101.693,-2.502441,-1.6357,-26.3829,3218,0,1843
1162,159.7,1.693,101.693,-2.55127,-1.6357,-26.3829,3218,0,1839
1163,159.7,1.654,101.654,-2.587891,-1.6357,-26.3829,3217,0,1836
1164,160.2,1.614,101.614,-2.636719,-1.6357,-26.3829,3216,0,1832
1165,160.2,1.614,101.614,-2.685547,-1.6357,-26.3829,3216,0,1828
1166,160.2,1.614,101.614,-2.722168,-1.6357,-26.3829,3216,0,1825
1167,160.6,1.614,101.614,-2.758789,-1.6357,-26.3829,3216,0,1822
1168,160.6,1.614,101.614,-2.807617,-1.6357,-26.3829,3216,0,1818
1169,160.6,1.575,101.575,-2.844238,-1.6357,-26.3829,3215,0,1815
1170,161.1,1.536,101.536,-2.880859,-1.6357,-26.3829,3214,0,1812
1171,161.1,1.575,101.575,-2.929688,-1.6357,-26.3829,3215,0,1808
1172,161.1,1.614,101.614,-2.966309,-1.6357,-26.3829,3216,0,1805
1173,161.1,1.575,101.575,-3.015137,-1.6357,-26.3829,3215,0,1801
1174,161.1,1.536,101.536,-3.051758,-1.6357,-26.3829,3214,0,1798
1175,161.1,1.536,101.536,-3.088379,-1.6357,-26.3829,3214,0,1795
1176,161.5,1.496,101.496,-3.125,-1.6357,-26.3829,3213,0,1792
1177,161.5,1.496,101.496,-3.149414,-1.6357,-26.3829,3213,0,1790
1178,161.5,1.496,101.496,-3.161621,-1.6357,-26.3829,3213,0,1789
1179,162,1.575,101.575,-3.173828,-1.6357,-26.3829,3215,0,1788
1180,162,1.575,101.575,-3.198242,-1.6357,-26.3829,3215,0,1786
1181,162,1.614,101.614,-3.234863,-1.6357,-26.3829,3216,0,1783
1182,162,1.614,101.614,-3.259277,-1.6357,-26.3829,3216,0,1781
1183,162.5,1.614,101.614,-3.283691,-1.6357,-26.3829,3216,0,1779
1184,162.5,1.496,101.496,-3.295898,-1.6357,-26.3829,3213,0,1778
1185,162.5,1.496,101.496,-3.320313,-1.6357,-26.3829,3213,0,1776
1186,162.5,1.536,101.536,-3.33252,-1.6357,-26.3829,3214,0,1775
1187,162.9,1.536,101.536,-3.344727,-1.6357,-26.3829,3214,0,1774
1188,162.9,1.536,101.536,-3.369141,-1.6357,-26.3829,3214,0,1772
1189,162.9,1.536,101.536,-3.393555,-1.6357,-26.3829,3214,0,1770
1190,162.9,1.536,101.536,-3.417969,-1.6357,-26.3829,3214,0,1768
1191,163.4,1.536,101.536,-3.430176,-1.6357,-26.3829,3214,0,1767
1192,163.4,1.496,101.496,-3.442383,-1.6357,-26.3829,3213,0,1766
1193,163.4,1.496,101.496,-3.442383,-1.6357,-26.3829,3213,0,1766
1194,163.4,1.496,101.496,-3.466797,-1.6357,-26.3829,3213,0,1764
1195,163.9,1.457,101.457,-3.466797,-1.6357,-26.3829,3212,0,1764
1196,163.9,1.457,101.457,-3.479004,-1.6357,-26.3829,3212,0,1763
1197,163.9,1.418,101.418,-3.491211,-1.6357,-26.3829,3211,0,1762
1198,163.9,1.378,101.378,-3.491211,-1.6357,-26.3829,3210,0,1762
1199,163.9,1.378,101.378,-3.503418,-1.6357,-26.3829,3210,0,1761
1200,164.3,1.378,101.378,-3.515625,-1.6357,-26.3829,3210,0,1760
1201,164.3,1.378,101.378,-3.540039,-1.6357,-26.3829,3210,0,1758
1202,164.3,1.378,101.378,-3.552246,-1.6357,-26.3829,3210,0,1757
1203,164.3,1.418,101.418,-3.564453,-1.6357,-26.3829,3211,0,1756
1204,164.8,1.457,101.457,-3.588867,-1.6357,-26.3829,3212,0,1754
1205,164.8,1.457,101.457,-3.601074,-1.6357,-26.3829,3212,0,1753
1206,164.8,1.418,101.418,-3.613281,-1.6357,-26.3829,3211,0,1752
1207,164.8,1.457,101.457,-3.625488,-1.6357,-26.3829,3212,0,1751
1208,164.8,1.457,101.457,-3.637695,-1.6357,-26.3829,3212,0,1750
1209,164.8,1.496,101.496,-3.637695,-1.6357,-26.3829,3213,0,1750
1210,165.2,1.457,101.457,-3.649902,-1.6357,-26.3829,3212,0,1749
1211,165.2,1.418,101.418,-3.662109,-1.6357,-26.3829,3211,0,1748
1212,165.2,1.418,101.418,-3.674316,-1.6357,-26.3829,3211,0,1747
1213,165.2,1.378,101.378,-3.686523,-1.6357,-26.3829,3210,0,1746
1214,165.7,1.378,101.378,-3.69873,-1.6357,-26.3829,3210,0,1745
1215,165.7,1.339,101.339,-3.69873,-1.6357,-26.3829,3209,0,1745
1216,165.7,1.378,101.378,-3.69873,-1.6357,-26.3829,3210,0,1745
1217,165.7,1.378,101.378,-3.710938,-1.6357,-26.3829,3210,0,1744
1218,165.7,1.418,101.418,-3.723145,-1.6357,-26.3829,3211,0,1743
1219,166.2,1.457,101.457,-3.723145,-1.6357,-26.3829,3212,0,1743
1220,166.2,1.457,101.457,-3.735352,-1.6357,-26.3829,3212,0,1742
1221,166.2,1.457,101.457,-3.735352,-1.6357,-26.3829,3212,0,1742
1222,166.2,1.457,101.457,-3.759766,-1.6357,-26.3829,3212,0,1740
1223,166.6,1.457,101.457,-3.759766,-1.6357,-26.3829,3212,0,1740
1224,166.6,1.418,101.418,-3.771973,-1.6357,-26.3829,3211,0,1739
1225,166.6,1.418,101.418,-3.78418,-1.6357,-26.3829,3211,0,1738
1226,166.6,1.418,101.418,-3.78418,-1.6357,-26.3829,3211,0,1738
1227,167.1,1.339,101.339,-3.808594,-1.6357,-26.3829,3209,0,1736
1228,166.6,1.299,101.299,-3.808594,-1.6357,-26.3829,3208,0,1736
1229,167.1,1.339,101.339,-3.833008,-1.6357,-26.3829,3209,0,1734
1230,167.1,1.339,101.339,-3.833008,-1.6357,-26.3829,3209,0,1734
1231,167.1,1.418,101.418,-3.833008,-1.6357,-26.3829,3211,0,1734
1232,167.5,1.418,101.418,-3.833008,-1.6357,-26.3829,3211,0,1734
1233,167.1,1.418,101.418,-3.845215,-1.6357,-26.3829,3211,0,1733
1234,167.5,1.457,101.457,-3.845215,-1.6357,-26.3829,3212,0,1733
1235,167.5,1.496,101.496,-3.845215,-1.6357,-26.3829,3213,0,1733
1236,167.5,1.457,101.457,-3.857422,-1.6357,-26.3829,3212,0,1732
1237,167.5,1.418,101.418,-3.857422,-1.6357,-26.3829,3211,0,1732
1238,167.5,1.418,101.418,-3.869629,-1.6357,-26.3829,3211,0,1731
1239,168,1.457,101.457,-3.857422,-1.6357,-26.3829,3212,0,1732
1240,168,1.496,101.496,-3.869629,-1.6357,-26.3829,3213,0,1731
1241,168,1.496,101.496,-3.869629,-1.6357,-26.3829,3213,0,1731
1242,168,1.457,101.457,-3.881836,-1.6357,-26.3829,3212,0,1730
1243,168.5,1.457,101.457,-3.881836,-1.6357,-26.3829,3212,0,1730
1244,168.5,1.378,101.378,-3.894043,-1.6357,-26.3829,3210,0,1729
1245,168.5,1.378,101.378,-3.894043,-1.6357,-26.3829,3210,0,1729
1246,168.5,1.339,101.339,-3.894043,-1.6357,-26.3829,3209,0,1729
1247,168.5,1.339,101.339,-3.918457,-1.6357,-26.3829,3209,0,1727
1248,168.5,1.339,101.339,-3.930664,-1.6357,-26.3829,3209,0,1726
1249,168.9,1.339,101.339,-3.918457,-1.6357,-26.3829,3209,0,1727
1250,168.9,1.339,101.339,-3.930664,-1.6357,-26.3829,3209,0,1726
1251,168.9,1.339,101.339,-3.930664,-1.6357,-26.3829,3209,0,1726
1252,168.9,1.378,101.378,-3.930664,-1.6357,-26.3829,3210,0,1726
1253,168.9,1.378,101.378,-3.930664,-1.6357,-26.3829,3210,0,1726
1254,169.4,1.378,101.378,-3.942871,-1.6357,-26.3829,3210,0,1725
1255,168.9,1.339,101.339,-3.942871,-1.6357,-26.3829,3209,0,1725
1256,169.4,1.339,101.339,-3.942871,-1.6357,-26.3829,3209,0,1725
1257,169.4,1.299,101.299,-3.930664,-1.6357,-26.3829,3208,0,1726
1258,169.4,1.339,101.339,-3.942871,-1.6357,-26.3829,3209,0,1725
1259,169.4,1.339,101.339,-3.942871,-1.6357,-26.3829,3209,0,1725
1260,169.4,1.299,101.299,-3.942871,-1.6357,-26.3829,3208,0,1725
1261,169.9,1.339,101.339,-3.955078,-1.6357,-26.3829,3209,0,1724
1262,169.9,1.378,101.378,-3.967285,-1.6357,-26.3829,3210,0,1723
1263,169.9,1.418,101.418,-3.955078,-1.6357,-26.3829,3211,0,1724
1264,169.9,1.378,101.378,-3.967285,-1.6357,-26.3829,3210,0,1723
1265,169.9,1.339,101.339,-3.979492,-1.6357,-26.3829,3209,0,1722
1266,169.9,1.339,101.339,-3.967285,-1.6357,-26.3829,3209,0,1723
1267,170.3,1.339,101.339,-3.979492,-1.6357,-26.3829,3209,0,1722
1268,170.3,1.378,101.378,-3.979492,-1.6357,-26.3829,3210,0,1722
1269,170.3,1.339,101.339,-3.967285,-1.6357,-26.3829,3209,0,1723
1270,170.3,1.339,101.339,-3.979492,-1.6357,-26.3829,3209,0,1722
1271,170.3,1.299,101.299,-3.967285,-1.6357,-26.3829,3208,0,1723
1272,170.3,1.299,101.299,-3.967285,-1.6357,-26.3829,3208,0,1723
1273,170.8,1.299,101.299,-3.955078,-1.6357,-26.3829,3208,0,1724
1274,170.8,1.339,101.339,-3.955078,-1.6357,-26.3829,3209,0,1724
1275,170.8,1.339,101.339,-3.942871,-1.6357,-26.3829,3209,0,1725
1276,170.8,1.378,101.378,-3.955078,-1.6357,-26.3829,3210,0,1724
1277,170.8,1.378,101.378,-3.955078,-1.6357,-26.3829,3210,0,1724
1278,170.8,1.378,101.378,-3.967285,-1.6357,-26.3829,3210,0,1723
1279,171.2,1.378,101.378,-3.967285,-1.6357,-26.3829,3210,0,1723
1280,170.8,1.418,101.418,-3.979492,-1.6357,-26.3829,3211,0,1722
1281,171.2,1.418,101.418,-3.979492,-1.6357,-26.3829,3211,0,1722
1282,171.2,1.378,101.378,-3.991699,-1.6357,-26.3829,3210,0,1721
1283,171.2,1.378,101.378,-3.991699,-1.6357,-26.3829,3210,0,1721
1284,171.2,1.378,101.378,-3.991699,-1.6357,-26.3829,3210,0,1721
1285,171.2,1.339,101.339,-4.003906,-1.6357,-26.3829,3209,0,1720
1286,171.2,1.299,101.299,-4.003906,-1.6357,-26.3829,3208,0,1720
1287,171.2,1.299,101.299,-4.003906,-1.6357,-26.3829,3208,0,1720
1288,171.7,1.299,101.299,-4.003906,-1.6357,-26.3829,3208,0,1720
1289,171.7,1.299,101.299,-4.003906,-1.6357,-26.3829,3208,0,1720
1290,171.7,1.339,101.339,-3.991699,-1.6357,-26.3829,3209,0,1721
1291,171.7,1.339,101.339,-4.003906,-1.6357,-26.3829,3209,0,1720
1292,171.7,1.339,101.339,-4.003906,-1.6357,-26.3829,3209,0,1720
1293,172.2,1.339,101.339,-4.003906,-1.6357,-26.3829,3209,0,1720
1294,172.2,1.339,101.339,-4.016113,-1.6357,-26.3829,3209,0,1719
